city,lat,lon
Kyiv,50.4500336,30.5241361
Lviv,49.841952,24.0315921
Kharkiv,49.9923181,36.2310146
Vinnytsia,49.2320162,28.467975
Chernihiv,51.494099,31.294332
Donetsk,48.0158753,37.8013407
Luhansk,48.5717084,39.2973153
Sumy,50.9119775,34.8027723
Dnipro,48.4680221,35.0417711
Poltava,49.5897423,34.5507948
Zaporizhzhia,47.8507859,35.1182867
Kherson,46.6412644,32.625794
Mykolaiv,46.9758615,31.9939666
Odesa,46.4843023,30.7322878
Cherkasy,49.4447888,32.0587805
Sevastopol,44.6054434,33.5220842
Ternopil,49.5557716,25.591886
Zhytomyr,50.2598298,28.6692345
Rivne,50.6196175,26.2513165
Lutsk,50.7450733,25.320078
Khmelnytskyi,49.4196404,26.9793793
Chernivtsi,48.2864702,25.9376532
Ivano-Frankivsk,48.9225224,24.7103188
Uzhhorod,48.6223732,22.3022569